observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/TJK,2021,0.0183,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TJK,2021,137.03,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TZA,2020,123274700000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TZA,2020,0.5553,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TZA,2021,106442100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TZA,2021,0.493,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TZA,2021,-13.65,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/THA,2020,304514900000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/THA,2020,1.3718,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/THA,2021,313006200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/THA,2021,1.4497,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/THA,2021,2.79,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TLS,2020,449700000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TLS,2020,0.002,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TLS,2021,1866200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TLS,2021,0.0086,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TLS,2021,315,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TGO,2020,73950600000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TGO,2020,0.3331,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TGO,2021,113936100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TGO,2021,0.5277,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TGO,2021,54.07,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TKL,2020,100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TKL,2020,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TKL,2021,0,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TON,2020,46700000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TON,2020,0.0002,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TON,2021,62500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TON,2021,0.0003,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TON,2021,33.68,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TTO,2020,6023000000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TTO,2020,0.0271,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TTO,2021,5533200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TTO,2021,0.0256,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TTO,2021,-8.13,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/TUN,2020,17363600000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TUN,2020,0.0782,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TUN,2021,19574500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/TUN,2021,0.0907,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/TUN,2021,12.73,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
