observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/AFG,2020,70845800000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AFG,2020,0.3191,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AFG,2021,61062000000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AFG,2021,0.2828,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AFG,2021,-13.81,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ALB,2020,3130500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ALB,2020,0.0141,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ALB,2021,3461900000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ALB,2021,0.016,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ALB,2021,10.59,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/DZA,2020,43168700000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/DZA,2020,0.1945,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/DZA,2021,43981000000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/DZA,2021,0.2037,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/DZA,2021,1.88,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ASM,2020,9100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ASM,2020,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ASM,2021,43300000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ASM,2021,0.0002,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ASM,2021,377.63,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/AND,2020,5500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AND,2020,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AND,2021,1500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AND,2021,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AND,2021,-72.57,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/AGO,2020,20192200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AGO,2020,0.091,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AGO,2021,19212300000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AGO,2021,0.089,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AGO,2021,-4.85,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/AIA,2020,3200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AIA,2020,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AIA,2021,3800000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AIA,2021,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AIA,2021,18.4,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ATA,2020,1500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ATA,2020,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ATA,2021,76900000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ATA,2021,0.0004,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ATA,2021,4995.48,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ATG,2020,155000000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ATG,2020,0.0007,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ATG,2021,119100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ATG,2021,0.0006,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ATG,2021,-23.12,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ARG,2020,54286100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARG,2020,0.2445,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARG,2021,50876200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARG,2021,0.2356,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARG,2021,-6.28,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ARM,2020,2860500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARM,2020,0.0129,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARM,2021,5146200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARM,2021,0.0238,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARM,2021,79.91,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ABW,2020,700300000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ABW,2020,0.0032,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ABW,2021,206900000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ABW,2021,0.001,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ABW,2021,-70.46,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/AUS,2020,201978900000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AUS,2020,0.9099,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AUS,2021,299276400000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AUS,2021,1.3862,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AUS,2021,48.17,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/AUT,2020,32288500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AUT,2020,0.1455,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AUT,2021,33543300000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
