observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2020,0.2626,Exports_EconomicActivity_LacGumsResinsAndOtherVegetableSapsAndExtracts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,53928500000,Exports_EconomicActivity_LacGumsResinsAndOtherVegetableSapsAndExtracts,INR,ExportsInUSD
country/IND,2021,0.2498,Exports_EconomicActivity_LacGumsResinsAndOtherVegetableSapsAndExtracts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-7.5,GrowthRate_Exports_EconomicActivity_LacGumsResinsAndOtherVegetableSapsAndExtracts,Percent,ExportsInUSD
country/IND,2020,3356800000,Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot,INR,ExportsInUSD
country/IND,2020,0.0151,Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,3266100000,Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot,INR,ExportsInUSD
country/IND,2021,0.0151,Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-2.7,GrowthRate_Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot,Percent,ExportsInUSD
country/IND,2020,82506800000,Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15,INR,ExportsInUSD
country/IND,2020,0.3717,Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,120831100000,Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15,INR,ExportsInUSD
country/IND,2021,0.5597,Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
