observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,44387631832746.55,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,22062899696545.395,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded,292636087158716.7,INR,MOSPIFirstAdvanceEstimates,P1Y
2025,country/IND,dcid:Amount_EconomicActivity_GrossValueAdded_RealValue,168911950842635.8,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,48092506868885.71,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,22749333280087.227,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,6173957347106.315,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3508697297561.232,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,37962695655637.13,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,27880558047932.656,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,8096048835814.187,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,3729187662185.2793,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,22213632347611.37,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,13758004306101.99,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,47077275395323.97,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrTransportStorageSectorOrPublishingBroadcastingInformationActivities,29770072216892.04,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_FinanceService,58267649514980.3,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_FinanceService,36155450591293.58,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,39238186479919.94,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,20270262037978.863,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded,267121952445278.9,INR,MOSPIFirstAdvanceEstimates,P1Y
2024,country/IND,dcid:Amount_EconomicActivity_GrossValueAdded_RealValue,157821565440032.84,INR,MOSPIFirstAdvanceEstimates,P1Y
2023,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,44771713245059.92,INR,MOSPIFirstAdvanceEstimates,P1Y
2023,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,21825821414255.06,INR,MOSPIFirstAdvanceEstimates,P1Y
2023,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,7050342868325.582,INR,MOSPIFirstAdvanceEstimates,P1Y
2023,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3358102557947.546,INR,MOSPIFirstAdvanceEstimates,P1Y
