observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2020,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,13786692441885.867,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ConstructionSector,10434294099776.248,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrMaintenanceAndRepairOrRestaurantAndHotels,23263308608045.773,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_TradeSectorOrMaintenanceAndRepairOrRestaurantAndHotels,18288675718589.836,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_TransportStorageSectorOrPublishingBroadcastingInformationActivities,11525578823709.02,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_TransportStorageSectorOrPublishingBroadcastingInformationActivities,8611919721190.1875,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_FinanceService,10276357136695.648,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_FinanceService,7845355379737.819,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_RealEstateOrDwellingRelatedServicesOrProfessionalServices,28534770798960.402,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_RealEstateOrDwellingRelatedServicesOrProfessionalServices,21137078928568.383,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,11517355043652.475,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_PublicAdministrationAndDefenceOrMOSPIOtherService,7625314174205.846,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MOSPIOtherService,15571389682923.066,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MOSPIOtherService,9698729435503.965,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded,183811173151868.66,INR,MOSPIThirdRevisedEstimates,P1Y
2020,country/IND,dcid:Amount_EconomicActivity_GrossValueAdded_RealValue,132361004111574.88,INR,MOSPIThirdRevisedEstimates,P1Y
2019,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,30299250459764.56,INR,MOSPIThirdRevisedEstimates,P1Y
2019,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_AgricultureForestryFishingSector,18785983500557.508,INR,MOSPIThirdRevisedEstimates,P1Y
2019,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3776610832156.067,INR,MOSPIThirdRevisedEstimates,P1Y
2019,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_MiningQuarrying,3268145692261.939,INR,MOSPIThirdRevisedEstimates,P1Y
2019,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,28125599556275.707,INR,MOSPIThirdRevisedEstimates,P1Y
2019,country/IND,dcid:RealValue_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector,23289922033938.266,INR,MOSPIThirdRevisedEstimates,P1Y
2019,country/IND,dcid:Nominal_Amount_EconomicActivity_GrossValueAdded_ElectricityGasSteamAirConditionSupply,4494589281191.535,INR,MOSPIThirdRevisedEstimates,P1Y
